new_word,freq,ratio,category,week,date1,date2
일상회복,155,0.015148553557466771,사회,1주차,20220102,20220108
중등증,25,0.0024433150899139952,사회,1주차,20220102,20220108
환경영향평가,12,0.0011727912431587178,사회,1주차,20220102,20220108
마두동,27,0.002638780297107115,사회,1주차,20220102,20220108
진단검사,89,0.008698201720093824,사회,1주차,20220102,20220108
여성인권위원장,12,0.0011727912431587178,사회,1주차,20220102,20220108
정의기억연대,25,0.0024433150899139952,사회,1주차,20220102,20220108
국가인권위원회,69,0.0067435496481626275,사회,1주차,20220102,20220108
의료대응,22,0.0021501172791243157,사회,1주차,20220102,20220108
ESG경영,20,0.001954652071931196,사회,1주차,20220102,20220108
미접종자분들,10,0.000977326035965598,사회,1주차,20220102,20220108
무단횡단자,9,0.0008795934323690383,사회,1주차,20220102,20220108
군사분계선,32,0.003127443315089914,사회,1주차,20220102,20220108
감시장비,29,0.0028342455043002344,사회,1주차,20220102,20220108
초동조치,9,0.0008795934323690383,사회,1주차,20220102,20220108
청도농협장례식장,8,0.0007818608287724785,사회,1주차,20220102,20220108
미준수,9,0.0008795934323690383,사회,1주차,20220102,20220108
방역수칙,92,0.008991399530883503,사회,1주차,20220102,20220108
유흥시설,56,0.00547302580140735,사회,1주차,20220102,20220108
실내체육시설,44,0.004300234558248631,사회,1주차,20220102,20220108
파티룸,22,0.0021501172791243157,사회,1주차,20220102,20220108
접종일,8,0.0007818608287724785,사회,1주차,20220102,20220108
보강작업,12,0.0011727912431587178,사회,1주차,20220102,20220108
녹색분류체계,7,0.0006841282251759187,사회,1주차,20220102,20220108
에너지공학,7,0.0006841282251759187,사회,1주차,20220102,20220108
택소노미,12,0.0011727912431587178,사회,1주차,20220102,20220108
대장동,89,0.008698201720093824,사회,1주차,20220102,20220108
성남도시개발공사,54,0.00527756059421423,사회,1주차,20220102,20220108
수사정보정책관,8,0.0007818608287724785,사회,1주차,20220102,20220108
체포영장,7,0.0006841282251759187,사회,1주차,20220102,20220108
고위공직자범죄,80,0.007818608287724784,사회,1주차,20220102,20220108
고위공직자범죄수사처,80,0.007818608287724784,사회,1주차,20220102,20220108
개발사업본부장,8,0.0007818608287724785,사회,1주차,20220102,20220108
화천대유,55,0.00537529319781079,사회,1주차,20220102,20220108
화천대유자산관리,17,0.0016614542611415168,사회,1주차,20220102,20220108
TBS교통방송,8,0.0007818608287724785,사회,1주차,20220102,20220108
소셜네트워크서비스,36,0.003518373729476153,사회,1주차,20220102,20220108
입양처,7,0.0006841282251759187,사회,1주차,20220102,20220108
임시보호처,7,0.0006841282251759187,사회,1주차,20220102,20220108
